Product/VAC name,CSVs generated,Testload,Available CasJobs,Metadata added?,Publish to BestDR20,SQL,CSV,Downloaded CSV,Notes,CSV reloading finished?,VAC Announcement,DB table Name(s),Extra indices needed,Spatial search needed?
VAC 33 - DL1_SDSS_EROSITA (daily),TRUE,FALSE,FALSE,FALSE,FALSE,https://github.com/sdss/casload/blob/DR20_VAC_33/sql/MOS/DL1_spec_SDSSV_eROSITA_eRASS3_daily.sql,/uufs/chpc.utah.edu/common/home/sdss/dr20/data/cas-load/mosCSV/DL1_SDSS_eROSITA/DL1_spec_SDSSV_eROSITA_eRASS3_daily-v1_1_0.csv,\\SDSS4C\d$\sql_db\staging\sdss5\casload\dr20\mosCSV\DL1_SDSS_eROSITA\DL1_spec_SDSSV_eROSITA_eRASS3_daily-v1_1_0.csv,Note: Column 'sdss_target_flag' in FITS file not included in SQL file,,,DL1_spec_SDSSV_eROSITA_eRASS3_daily,,
VAC 34 BHM_BLAZAR,TRUE,FALSE,FALSE,FALSE,FALSE,https://github.com/sdss/casload/blob/DR20_VAC_34/sql/BHM/fermi_blazar.sql,/uufs/chpc.utah.edu/common/home/sdss/dr20/data/cas-load/bhmCSV/boss_fermi_redshifts/fermi_blazar.csv,\\SDSS4C\d$\sql_db\staging\sdss5\casload\dr20\bhmCSV\boss_fermi_redshifts\fermi_blazar.csv,,,,fermi_blazar,,
VAC 35 MWM_MDWARF (mdwarf_active_params_,TRUE,FALSE,FALSE,FALSE,FALSE,https://github.com/sdss/casload/blob/DR20_VAC_35/sql/MWM/mdwarf_active_params.sql,/uufs/chpc.utah.edu/common/home/sdss/dr20/data/cas-load/mwmCSV/boss_spectral_activity/mdwarf_active_params-1.0.0.csv,\\SDSS4C\d$\sql_db\staging\sdss5\casload\dr20\mwmCSV\boss_spectral_activity\mdwarf_active_params-1.0.0.csv,,,,mdwarf_active_params,,
VAC 36 (boss_clam_lite),TRUE,FALSE,FALSE,FALSE,FALSE,https://github.com/sdss/casload/blob/DR20_VAC_36/sql/MWM/boss_clam_lite.sql,/uufs/chpc.utah.edu/common/home/sdss/dr20/data/cas-load/mwmCSV/boss_clam/boss_clam_lite-1.0.0.csv,\\SDSS4C\d$\sql_db\staging\sdss5\casload\dr20\mwmCSV\boss_clam\boss_clam_lite-1.0.0.csv,Note: Column 'sdss_target_flag' in FITS file not included in SQL file,,,boss_clam_lite,,
VAC 36 (boss_clam_params),TRUE,FALSE,FALSE,FALSE,FALSE,https://github.com/sdss/casload/blob/DR20_VAC_36/sql/MWM/boss_clam_params.sql,/uufs/chpc.utah.edu/common/home/sdss/dr20/data/cas-load/mwmCSV/boss_clam/boss_clam_params-1.0.0.csv,\\SDSS4C\d$\sql_db\staging\sdss5\casload\dr20\mwmCSV\boss_clam\boss_clam_params-1.0.0.csv,,,,boss_clam_params,,
VAC 37 (BHM visualization),TRUE,FALSE,FALSE,FALSE,FALSE,https://github.com/sdss/casload/blob/DR20_VAC_37/sql/BHM/boss_vi_results.sql,/uufs/chpc.utah.edu/common/home/sdss/dr20/data/cas-load/bhmCSV/visual-inspect/boss_vi_results-1.0.3.csv,\\SDSS4C\d$\sql_db\staging\sdss5\casload\dr20\bhmCSV\visual-inspect\boss_vi_results-1.0.3.csv,,,,boss_vi_results ,,
,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
astraAllStarBossNet,TRUE,TRUE,FALSE,FALSE,FALSE,https://github.com/sdss/casload/tree/astra_DR20/sql/astra/bossnet_star.sql,/uufs/chpc.utah.edu/common/home/sdss/dr20/data/cas-load/asCSV/astraAllStarBossNet.csv,\\SDSS4C\d$\sql_db\staging\sdss5\casload\dr20\asCSV\astraAllStarBossNet.csv,,,,boss_net_boss_star,,
astraAllVisitBossNet,TRUE,TRUE,FALSE,FALSE,FALSE,https://github.com/sdss/casload/tree/astra_DR20/sql/astra/bossnet_visit.sql,/uufs/chpc.utah.edu/common/home/sdss/dr20/data/cas-load/asCSV/astraAllVisitBossNet.csv,\\SDSS4C\d$\sql_db\staging\sdss5\casload\dr20\asCSV\astraAllVisitBossNet.csv,,,,boss_net_boss_visit,,
astraAllVisitCorv,TRUE,TRUE,FALSE,FALSE,FALSE,https://github.com/sdss/casload/tree/astra_DR20/sql/astra/corv_visit.sql,/uufs/chpc.utah.edu/common/home/sdss/dr20/data/cas-load/asCSV/astraAllVisitCorv.csv,\\SDSS4C\d$\sql_db\staging\sdss5\casload\dr20\asCSV\astraAllVisitCorv.csv,,,,boss_net_boss_visit,,
