name,ra,dec,B,BErr,nB_tot,nB,V,VErr,nV_tot,nV,R,RErr,nR_tot,nR,I,IErr,nI_tot,nI,vary,objID
BLLac-S101,330.66878,42.24501,14.272,,,5,13.009,,,17,,,,0,,,,0,0.013,
BLLac-S103,330.66817,42.31655,15.150,,,5,14.355,,,17,,,,0,,,,0,0.005,
BLLac-S105,330.66703,42.28610,15.147,,,5,14.278,,,17,,,,0,,,,0,0.012,
BLLac-S107,330.66502,42.24431,18.783,,,5,17.684,,,17,,,,0,,,,0,0.018,
BLLac-S114,330.66241,42.26669,19.452,,,5,18.736,,,17,,,,0,,,,0,0.005,
BLLac-S115,330.66206,42.24425,15.230,,,5,14.460,,,17,,,,0,,,,0,0.003,
BLLac-S116,330.66186,42.31137,19.022,,,5,18.092,,,17,,,,0,,,,0,0.015,
BLLac-S118,330.66122,42.28558,17.980,,,5,17.137,,,17,,,,0,,,,0,-0.001,
BLLac-S120,330.66093,42.30961,19.564,,,5,18.393,,,17,,,,0,,,,0,-0.005,
BLLac-S127,330.65470,42.30467,19.073,,,5,17.758,,,17,,,,0,,,,0,0.012,
BLLac-S128,330.65371,42.30396,17.540,,,5,16.563,,,17,,,,0,,,,0,0.013,
BLLac-S130,330.65112,42.30883,15.059,,,5,14.259,,,17,,,,0,,,,0,0.006,
BLLac-S131,330.65038,42.28169,16.380,,,5,15.578,,,17,,,,0,,,,0,0.006,
BLLac-S132,330.64973,42.24323,18.271,,,5,17.378,,,17,,,,0,,,,0,-0.002,
BLLac-S133,330.64901,42.31686,19.211,,,5,18.217,,,17,,,,0,,,,0,0.006,
BLLac-S134,330.64616,42.31355,15.134,,,5,14.200,,,17,,,,0,,,,0,0.006,
BLLac-S137,330.64312,42.29507,18.690,,,5,17.786,,,17,,,,0,,,,0,0.002,
BLLac-S141,330.63966,42.27436,19.294,,,5,18.243,,,17,,,,0,,,,0,-0.005,
BLLac-S142,330.63961,42.28469,18.960,,,5,17.674,,,17,,,,0,,,,0,0.011,
BLLac-S146,330.63796,42.26838,18.227,,,5,17.400,,,17,,,,0,,,,0,0.004,
BLLac-S149,330.63610,42.27990,15.754,,,5,14.462,,,17,,,,0,,,,0,0.020,
BLLac-S15,330.72026,42.31998,19.404,,,5,18.393,,,17,,,,0,,,,0,0.010,
BLLac-S151,330.63573,42.27028,19.292,,,5,18.286,,,17,,,,0,,,,0,0.006,
BLLac-S154,330.63476,42.25151,18.532,,,5,17.489,,,17,,,,0,,,,0,0.016,
BLLac-S159,330.63143,42.24885,19.515,,,5,18.730,,,17,,,,0,,,,0,0.006,
BLLac-S16,330.71791,42.27845,18.398,,,5,17.070,,,17,,,,0,,,,0,0.018,
BLLac-S164,330.63032,42.26130,16.892,,,5,16.069,,,17,,,,0,,,,0,0.003,
BLLac-S168,330.62865,42.30274,18.937,,,5,17.997,,,17,,,,0,,,,0,0.020,
BLLac-S170,330.62759,42.31668,16.335,,,5,15.301,,,17,,,,0,,,,0,0.009,
BLLac-S171,330.62718,42.25112,18.737,,,5,17.771,,,17,,,,0,,,,0,0.024,
BLLac-S175,330.62513,42.30157,18.132,,,5,17.052,,,17,,,,0,,,,0,0.005,
BLLac-S178,330.62394,42.24297,19.475,,,5,18.604,,,15,,,,0,,,,0,-0.002,
BLLac-S18,330.71628,42.29004,18.946,,,5,17.465,,,17,,,,0,,,,0,-0.002,
BLLac-S182,330.62041,42.27957,18.046,,,5,16.812,,,14,,,,0,,,,0,0.005,
BLLac-S184,330.61884,42.32478,17.340,,,5,16.358,,,14,,,,0,,,,0,0.021,
BLLac-S187,330.61583,42.27947,19.326,,,5,18.389,,,14,,,,0,,,,0,0.017,
BLLac-S188,330.61563,42.24699,16.737,,,5,15.783,,,14,,,,0,,,,0,0.009,
BLLac-S192,330.61547,42.30981,19.236,,,5,18.289,,,14,,,,0,,,,0,-0.003,
BLLac-S21,330.71463,42.25866,17.360,,,5,16.161,,,17,,,,0,,,,0,0.000,
BLLac-S38,330.70185,42.24747,17.018,,,5,15.983,,,17,,,,0,,,,0,0.007,
BLLac-S39,330.70136,42.31294,15.488,,,5,14.686,,,17,,,,0,,,,0,0.007,
BLLac-S43,330.69857,42.32663,19.078,,,5,17.952,,,17,,,,0,,,,0,0.023,
BLLac-S44,330.69805,42.31144,18.872,,,5,17.979,,,17,,,,0,,,,0,0.001,
BLLac-S48,330.69569,42.26458,18.748,,,5,17.670,,,17,,,,0,,,,0,-0.001,
BLLac-S5,330.72798,42.26759,18.137,,,5,17.121,,,17,,,,0,,,,0,0.006,
BLLac-S52,330.69523,42.24669,17.108,,,5,16.347,,,17,,,,0,,,,0,0.007,
BLLac-S55,330.69430,42.30770,19.478,,,5,18.396,,,17,,,,0,,,,0,0.005,
BLLac-S56,330.69370,42.25811,18.457,,,5,17.539,,,17,,,,0,,,,0,0.007,
BLLac-S59,330.69312,42.28237,16.929,,,5,15.981,,,17,,,,0,,,,0,0.011,
BLLac-S61,330.69239,42.31373,17.187,,,5,16.321,,,17,,,,0,,,,0,0.015,
BLLac-S62,330.69226,42.30917,15.521,,,5,14.122,,,17,,,,0,,,,0,0.003,
BLLac-S65,330.69024,42.26991,19.177,,,5,17.984,,,17,,,,0,,,,0,0.009,
BLLac-S66,330.68975,42.26682,17.068,,,5,16.125,,,17,,,,0,,,,0,0.015,
BLLac-S69,330.68933,42.27658,14.602,,,5,12.947,,,17,,,,0,,,,0,0.010,
BLLac-S71,330.68790,42.24569,17.372,,,5,16.284,,,17,,,,0,,,,0,0.008,
BLLac-S79,330.68293,42.25805,16.440,,,5,15.723,,,17,,,,0,,,,0,0.004,
BLLac-S81,330.68240,42.26536,18.663,,,5,17.642,,,17,,,,0,,,,0,0.016,
BLLac-S83,330.67967,42.26017,17.502,,,5,16.674,,,17,,,,0,,,,0,0.008,
BLLac-S89,330.67696,42.32418,19.111,,,5,18.194,,,17,,,,0,,,,0,0.014,
BLLac-S9,330.72349,42.29674,14.318,,,5,13.299,,,17,,,,0,,,,0,0.013,
BLLac-S97,330.67160,42.25865,16.838,,,5,16.108,,,17,,,,0,,,,0,-0.001,
Car-S1,99.98185,-50.98623,,,,0,19.959,,,5,,,,0,17.706,,,12,0.008,
Car-S10,100.00759,-50.89200,,,,0,18.482,,,6,,,,0,16.709,,,16,0.010,
Car-S100,100.13960,-50.80962,19.697,,,6,18.383,,,6,,,,0,16.753,,,22,-0.001,
Car-S1003,100.85130,-50.89075,,,,0,18.076,,,5,,,,0,17.004,,,10,0.039,
Car-S1005,100.85597,-50.92251,,,,0,17.049,,,5,,,,0,15.899,,,7,0.024,
Car-S1007,100.86223,-50.90604,,,,0,16.651,,,5,,,,0,15.806,,,9,0.010,
Car-S1008,100.86969,-50.86748,,,,0,17.111,,,5,,,,0,15.935,,,5,0.007,
Car-S101,100.13796,-50.96879,18.587,,,8,17.991,,,6,,,,0,17.241,,,24,0.006,
Car-S102,100.14093,-50.84361,18.256,,,6,17.542,,,6,,,,0,16.697,,,22,-0.001,
Car-S103,100.14222,-50.93814,18.938,,,8,18.807,,,6,,,,0,18.561,,,24,0.010,
Car-S104,100.14397,-50.80938,19.420,,,6,18.413,,,6,,,,0,17.284,,,22,0.004,
Car-S105,100.14367,-50.86928,17.437,,,6,16.750,,,6,,,,0,15.946,,,22,0.016,
Car-S106,100.14478,-50.78940,20.202,,,6,18.722,,,6,,,,0,16.738,,,22,-0.001,
Car-S107,100.14441,-50.91645,20.174,,,6,18.782,,,6,,,,0,17.007,,,22,0.011,
Car-S108,100.14672,-50.80367,15.801,,,6,,,,0,,,,0,14.036,,,14,0.028,
Car-S109,100.14605,-50.98834,21.460,,,6,19.758,,,5,,,,0,17.126,,,18,0.010,
Car-S11,100.01326,-50.98894,,,,0,20.265,,,5,,,,0,17.720,,,12,0.036,
Car-S110,100.14614,-50.97825,16.625,,,8,15.978,,,6,,,,0,15.188,,,24,0.018,
Car-S112,100.14735,-50.90212,19.403,,,6,18.232,,,6,,,,0,16.918,,,22,0.007,
Car-S113,100.14729,-50.96051,17.659,,,8,17.052,,,6,,,,0,16.303,,,25,0.006,
Car-S114,100.14965,-50.77921,20.222,,,6,18.949,,,6,,,,0,17.341,,,22,0.010,
Car-S115,100.14963,-50.78314,21.787,,,6,20.212,,,6,,,,0,17.768,,,22,0.005,
Car-S116,100.14946,-50.81663,17.875,,,6,17.267,,,6,,,,0,16.480,,,20,0.006,
Car-S117,100.14911,-50.87712,19.094,,,6,18.118,,,6,,,,0,16.980,,,22,0.007,
Car-S119,100.14949,-50.99147,,,,0,18.375,,,5,,,,0,16.703,,,12,0.015,
Car-S12,100.01529,-50.86894,,,,0,18.580,,,6,,,,0,16.860,,,16,0.013,
Car-S120,100.15203,-50.79495,15.582,,,6,15.030,,,6,,,,0,14.284,,,17,0.007,
Car-S121,100.15492,-50.91431,18.690,,,6,18.048,,,6,,,,0,17.247,,,22,0.008,
Car-S123,100.15545,-50.95573,18.753,,,8,17.732,,,6,,,,0,16.551,,,25,0.009,
Car-S124,100.15772,-50.77675,19.647,,,6,18.045,,,6,,,,0,16.619,,,22,-0.002,
Car-S125,100.15630,-50.98547,15.942,,,7,15.269,,,5,,,,0,14.414,,,17,0.017,
Car-S126,100.15690,-50.94045,20.027,,,8,18.984,,,6,,,,0,17.726,,,24,0.006,
Car-S127,100.15841,-50.88510,17.567,,,6,,,,0,,,,0,16.131,,,21,0.029,
Car-S128,100.15981,-50.78737,21.440,,,6,19.914,,,6,,,,0,17.566,,,22,0.006,
Car-S129,100.15923,-50.90441,19.013,,,6,18.284,,,6,,,,0,17.429,,,22,0.006,
Car-S13,100.01703,-50.95434,,,,0,20.181,,,6,,,,0,17.846,,,16,0.026,
Car-S130,100.16078,-50.81118,17.079,,,6,16.594,,,6,,,,0,15.918,,,22,0.006,
Car-S131,100.16155,-50.82544,17.954,,,6,17.083,,,6,,,,0,16.050,,,21,0.010,
Car-S133,100.16307,-50.96577,17.403,,,8,16.407,,,6,,,,0,15.287,,,25,0.008,
Car-S135,100.16677,-50.83110,17.898,,,6,17.181,,,6,,,,0,16.310,,,21,0.025,
Car-S136,100.16773,-50.77439,18.192,,,6,17.618,,,6,,,,0,16.885,,,22,0.005,
Car-S137,100.16744,-50.81504,16.720,,,6,16.226,,,6,,,,0,15.556,,,19,0.004,
Car-S139,100.16756,-50.87238,19.802,,,6,18.809,,,6,,,,0,17.651,,,22,0.007,
Car-S14,100.02028,-50.90097,,,,0,19.375,,,6,,,,0,17.566,,,16,0.004,
Car-S141,100.16925,-50.80745,19.561,,,6,18.233,,,6,,,,0,16.597,,,22,0.003,
Car-S142,100.17072,-50.83850,19.909,,,6,18.475,,,6,,,,0,16.660,,,22,-0.001,
Car-S143,100.17013,-50.90811,19.521,,,6,18.309,,,6,,,,0,17.041,,,22,0.008,
Car-S144,100.16990,-50.96836,20.464,,,8,18.934,,,6,,,,0,16.751,,,24,-0.001,
Car-S145,100.17400,-50.89795,16.662,,,6,16.069,,,6,,,,0,15.279,,,22,0.004,
Car-S149,100.17661,-50.96176,19.159,,,8,17.917,,,6,,,,0,16.571,,,25,0.010,
Car-S15,100.02530,-50.89514,,,,0,18.969,,,6,,,,0,17.776,,,16,0.005,
Car-S153,100.18194,-50.98304,16.168,,,8,,,,0,,,,0,14.690,,,17,0.004,
Car-S154,100.18544,-50.79615,16.568,,,6,15.620,,,6,,,,0,14.509,,,20,0.005,
Car-S155,100.18527,-50.95887,18.424,,,8,17.847,,,6,,,,0,17.066,,,25,0.005,
Car-S156,100.18807,-50.78420,17.551,,,6,16.604,,,6,,,,0,15.506,,,20,0.006,
Car-S157,100.18706,-50.92527,16.569,,,6,15.888,,,5,,,,0,15.103,,,19,0.016,
Car-S158,100.18742,-50.92343,20.791,,,6,19.368,,,6,,,,0,17.569,,,22,0.010,
Car-S159,100.18868,-50.93134,18.426,,,7,17.602,,,6,,,,0,16.664,,,21,0.009,
Car-S16,100.02792,-50.99512,,,,0,19.973,,,5,,,,0,17.571,,,8,0.011,
Car-S161,100.18891,-50.91468,17.759,,,6,17.092,,,6,,,,0,16.302,,,22,0.014,
Car-S162,100.19009,-50.99639,,,,0,20.042,,,5,,,,0,17.108,,,11,-0.001,
Car-S163,100.19347,-50.78358,17.487,,,6,16.914,,,6,,,,0,16.186,,,22,0.001,
Car-S164,100.19341,-50.84805,18.013,,,6,17.333,,,5,,,,0,16.517,,,17,0.007,
Car-S166,100.19405,-50.99995,,,,0,17.776,,,5,,,,0,17.084,,,11,0.005,
Car-S168,100.19994,-50.77341,19.584,,,6,18.694,,,6,,,,0,17.631,,,22,0.004,
Car-S169,100.19962,-50.95267,16.932,,,8,16.116,,,5,,,,0,15.102,,,25,0.011,
Car-S170,100.20199,-50.79714,18.778,,,6,17.772,,,6,,,,0,16.558,,,22,0.004,
Car-S171,100.20614,-50.79966,16.802,,,6,16.036,,,6,,,,0,15.155,,,21,0.003,
Car-S172,100.20459,-50.98450,18.385,,,7,17.541,,,5,,,,0,16.577,,,18,0.005,
Car-S174,100.20663,-50.89180,19.186,,,6,18.490,,,6,,,,0,17.669,,,22,-0.001,
Car-S176,100.20889,-50.86815,22.172,,,6,20.515,,,6,,,,0,17.470,,,22,0.018,
Car-S177,100.20917,-50.85345,18.251,,,6,17.118,,,6,,,,0,15.734,,,22,0.019,
Car-S178,100.20891,-50.92364,17.440,,,6,16.847,,,6,,,,0,16.124,,,22,0.008,
Car-S18,100.03128,-50.90371,,,,0,17.556,,,6,,,,0,15.831,,,16,0.013,
Car-S180,100.21013,-50.92130,18.477,,,6,17.792,,,6,,,,0,16.961,,,22,0.003,
Car-S181,100.21079,-50.93511,17.857,,,8,17.116,,,6,,,,0,16.271,,,23,0.003,
Car-S185,100.21737,-50.97083,19.442,,,8,18.333,,,6,,,,0,16.996,,,24,-0.001,
Car-S187,100.21941,-50.93992,20.271,,,8,18.982,,,6,,,,0,17.450,,,24,0.002,
Car-S189,100.22171,-50.98560,20.817,,,7,19.210,,,5,,,,0,16.896,,,18,0.007,
Car-S19,100.03591,-50.95349,,,,0,17.154,,,6,,,,0,15.586,,,16,0.014,
Car-S190,100.22261,-50.96274,16.358,,,8,15.530,,,6,,,,0,14.542,,,23,0.007,
Car-S191,100.22480,-50.82463,20.251,,,6,18.826,,,6,,,,0,16.775,,,21,0.004,
Car-S192,100.22424,-50.91223,19.386,,,6,18.407,,,6,,,,0,17.315,,,22,0.004,
Car-S193,100.22388,-50.99428,,,,0,18.525,,,5,,,,0,17.653,,,11,0.004,
Car-S194,100.22662,-50.89794,17.766,,,6,17.198,,,6,,,,0,16.480,,,21,0.009,
Car-S195,100.22750,-50.88344,18.857,,,6,17.604,,,6,,,,0,16.191,,,22,0.011,
Car-S196,100.22820,-50.86998,19.182,,,6,17.934,,,6,,,,0,16.521,,,22,0.004,
Car-S197,100.22858,-50.93970,16.243,,,8,,,,0,,,,0,14.347,,,23,0.020,
Car-S198,100.23094,-50.95161,18.557,,,8,17.806,,,6,,,,0,16.970,,,25,0.007,
Car-S199,100.23132,-50.99944,,,,0,17.681,,,5,,,,0,16.754,,,11,0.004,
Car-S2,99.98247,-50.96019,,,,0,17.851,,,6,,,,0,16.461,,,16,0.015,
Car-S20,100.03703,-50.91865,,,,0,16.321,,,6,,,,0,15.423,,,16,0.008,
Car-S200,100.23239,-50.95031,19.557,,,8,18.487,,,6,,,,0,17.189,,,25,-0.001,
Car-S201,100.23228,-50.96754,20.029,,,8,18.708,,,6,,,,0,17.025,,,24,-0.001,
Car-S202,100.23372,-50.85704,19.099,,,6,,,,0,,,,0,17.461,,,22,0.010,
Car-S203,100.23409,-50.82980,17.777,,,6,17.007,,,6,,,,0,16.101,,,22,0.005,
Car-S205,100.23681,-50.80133,17.692,,,6,17.223,,,6,,,,0,16.585,,,22,0.002,
Car-S208,100.23733,-50.97733,19.311,,,8,18.108,,,6,,,,0,16.800,,,24,-0.001,
Car-S209,100.23787,-50.96234,19.648,,,8,18.605,,,6,,,,0,17.407,,,25,-0.001,
Car-S21,100.03769,-50.96145,,,,0,18.708,,,6,,,,0,16.068,,,16,0.020,
Car-S210,100.23961,-50.86518,18.637,,,6,17.753,,,6,,,,0,16.750,,,22,0.006,
Car-S214,100.24381,-50.84597,16.937,,,6,16.484,,,6,,,,0,15.914,,,22,0.008,
Car-S215,100.24360,-50.89316,19.079,,,6,17.795,,,6,,,,0,16.402,,,22,0.010,
Car-S218,100.24797,-50.80324,17.292,,,6,16.817,,,6,,,,0,16.123,,,22,0.005,
Car-S22,100.04254,-50.86555,,,,0,17.805,,,6,,,,0,16.447,,,16,0.010,
Car-S221,100.24811,-50.92310,18.448,,,6,17.612,,,6,,,,0,16.706,,,22,0.005,
Car-S222,100.24772,-50.99578,,,,0,17.688,,,5,,,,0,15.516,,,11,0.008,
Car-S224,100.25093,-50.91539,18.147,,,6,17.625,,,6,,,,0,16.964,,,20,0.007,
Car-S225,100.25166,-50.88180,18.869,,,6,17.768,,,6,,,,0,16.468,,,22,0.008,
Car-S226,100.25218,-50.86259,19.439,,,6,18.403,,,6,,,,0,17.223,,,22,0.006,
Car-S229,100.25433,-50.85857,16.496,,,6,,,,0,,,,0,15.330,,,22,0.008,
Car-S23,100.04475,-50.99048,,,,0,17.806,,,5,,,,0,16.722,,,9,0.010,
Car-S231,100.25596,-50.89905,21.195,,,6,19.592,,,6,,,,0,17.501,,,22,0.012,
Car-S232,100.25753,-50.80409,18.681,,,6,18.083,,,6,,,,0,17.330,,,22,0.005,
Car-S233,100.25728,-50.92482,19.518,,,6,18.514,,,6,,,,0,17.372,,,22,0.007,
Car-S235,100.25875,-50.88705,18.393,,,6,,,,0,,,,0,16.143,,,22,0.022,
Car-S236,100.25988,-50.81542,16.521,,,6,15.650,,,6,,,,0,14.567,,,18,-0.001,
Car-S238,100.26120,-50.78875,18.386,,,6,17.706,,,6,,,,0,16.914,,,22,0.004,
Car-S24,100.04712,-50.91085,,,,0,18.958,,,6,,,,0,17.388,,,16,0.001,
Car-S240,100.26126,-50.98858,19.129,,,6,18.309,,,5,,,,0,17.330,,,18,0.005,
Car-S242,100.26446,-50.83050,19.977,,,6,18.571,,,6,,,,0,16.798,,,21,-0.001,
Car-S244,100.26491,-50.95136,19.130,,,8,17.973,,,6,,,,0,16.711,,,25,0.011,
Car-S245,100.26499,-50.97831,19.690,,,8,18.792,,,6,,,,0,17.715,,,24,0.004,
Car-S247,100.26603,-50.96392,19.816,,,8,18.592,,,6,,,,0,17.445,,,25,0.006,
Car-S25,100.05206,-50.92784,,,,0,18.562,,,6,,,,0,17.758,,,16,0.005,
Car-S251,100.26886,-50.94408,17.696,,,8,17.081,,,6,,,,0,16.337,,,25,0.004,
Car-S254,100.27238,-50.97261,19.671,,,8,18.479,,,6,,,,0,17.404,,,23,0.003,
Car-S257,100.27810,-50.87228,17.870,,,6,17.344,,,6,,,,0,16.679,,,22,0.009,
Car-S26,100.05633,-50.98937,,,,0,18.028,,,5,,,,0,17.371,,,12,0.010,
Car-S262,100.28095,-50.91670,19.478,,,6,18.604,,,6,,,,0,17.578,,,22,0.004,
Car-S263,100.28155,-50.92886,18.988,,,6,18.337,,,6,,,,0,17.539,,,22,-0.001,
Car-S267,100.28490,-50.78521,20.247,,,6,18.824,,,6,,,,0,17.050,,,22,0.007,
Car-S268,100.28573,-50.79716,19.339,,,6,17.657,,,6,,,,0,16.246,,,22,0.008,
Car-S269,100.28494,-50.90591,15.734,,,6,15.201,,,6,,,,0,14.508,,,19,0.007,
Car-S27,100.05979,-50.91855,,,,0,14.733,,,6,,,,0,13.920,,,13,0.005,
Car-S270,100.28670,-50.87921,21.907,,,6,20.274,,,6,,,,0,17.593,,,22,-0.001,
Car-S272,100.28789,-50.84227,16.231,,,6,15.760,,,6,,,,0,15.104,,,20,0.006,
Car-S274,100.29136,-50.87929,16.887,,,6,16.129,,,6,,,,0,15.276,,,21,0.012,
Car-S277,100.29393,-50.93137,19.222,,,7,17.979,,,6,,,,0,16.645,,,22,0.010,
Car-S278,100.29551,-50.85939,20.874,,,6,,,,0,,,,0,16.786,,,22,0.022,
Car-S28,100.06031,-50.96551,,,,0,15.509,,,5,,,,0,14.780,,,12,0.009,
Car-S280,100.29700,-50.78406,17.602,,,6,16.750,,,6,,,,0,15.714,,,22,0.001,
Car-S282,100.29788,-50.86846,17.814,,,6,,,,0,,,,0,16.484,,,22,0.026,
Car-S283,100.29935,-50.77506,18.774,,,6,17.889,,,6,,,,0,16.794,,,22,0.009,
Car-S284,100.29886,-50.97866,17.211,,,8,16.382,,,5,,,,0,15.386,,,21,0.008,
Car-S288,100.30108,-50.94830,20.533,,,8,19.038,,,6,,,,0,17.135,,,25,0.005,
Car-S289,100.30124,-50.95723,19.354,,,8,18.316,,,6,,,,0,17.113,,,25,0.004,
Car-S29,100.06115,-50.90533,,,,0,14.528,,,6,,,,0,13.682,,,13,0.003,
Car-S290,100.30259,-50.78485,18.317,,,6,17.716,,,6,,,,0,16.947,,,22,0.006,
Car-S294,100.30747,-50.95666,17.516,,,8,16.764,,,5,,,,0,15.887,,,26,0.009,
Car-S295,100.30818,-50.94313,19.842,,,8,18.313,,,6,,,,0,16.197,,,26,-0.001,
Car-S299,100.30962,-50.96750,20.198,,,8,18.821,,,6,,,,0,17.024,,,25,-0.001,
Car-S3,99.98761,-50.90314,,,,0,16.383,,,6,,,,0,15.447,,,16,0.014,
Car-S30,100.06305,-50.86150,,,,0,16.869,,,6,,,,0,14.834,,,15,0.016,
Car-S300,100.31156,-50.79979,19.900,,,6,18.541,,,6,,,,0,16.871,,,23,0.004,
Car-S301,100.31085,-50.98742,18.706,,,7,17.748,,,5,,,,0,16.615,,,20,0.010,
Car-S302,100.31341,-50.80356,15.885,,,6,14.995,,,6,,,,0,13.963,,,20,0.012,
Car-S303,100.31368,-50.98743,21.173,,,7,19.667,,,5,,,,0,17.750,,,20,0.034,
Car-S304,100.31519,-50.90508,16.264,,,6,15.624,,,6,,,,0,14.852,,,24,0.011,
Car-S305,100.31525,-50.99669,,,,0,17.805,,,5,,,,0,16.412,,,11,0.013,
Car-S306,100.31710,-50.90061,17.897,,,6,16.654,,,6,,,,0,15.239,,,24,0.019,
Car-S308,100.31764,-50.95758,22.065,,,8,20.417,,,6,,,,0,17.642,,,28,0.017,
Car-S31,100.06594,-50.95002,,,,0,18.203,,,6,,,,0,17.516,,,17,0.002,
Car-S310,100.31820,-50.98416,19.288,,,9,18.222,,,5,,,,0,16.941,,,23,0.007,
Car-S313,100.32173,-50.86617,18.622,,,8,18.052,,,6,,,,0,17.334,,,25,0.007,
Car-S314,100.32163,-50.96065,21.443,,,10,19.937,,,6,,,,0,17.779,,,28,-0.001,
Car-S317,100.32340,-50.78758,21.042,,,8,19.557,,,6,,,,0,17.640,,,25,0.007,
Car-S319,100.32368,-50.88549,19.573,,,8,18.515,,,6,,,,0,17.287,,,25,0.009,
Car-S320,100.32512,-50.88649,19.890,,,8,18.910,,,6,,,,0,17.748,,,25,0.029,
Car-S321,100.32467,-50.95567,19.384,,,10,18.282,,,6,,,,0,17.016,,,26,0.011,
Car-S322,100.32477,-50.96586,19.814,,,10,18.886,,,6,,,,0,17.772,,,28,0.004,
Car-S323,100.32616,-50.89441,18.528,,,8,17.920,,,6,,,,0,17.166,,,25,0.006,
Car-S324,100.32651,-50.99256,,,,0,18.946,,,5,,,,0,17.647,,,12,0.003,
Car-S325,100.32741,-50.85549,18.744,,,8,17.779,,,6,,,,0,16.636,,,25,0.017,
Car-S326,100.32733,-50.88657,19.229,,,8,18.042,,,6,,,,0,16.683,,,25,0.008,
Car-S329,100.32798,-50.93827,17.789,,,10,17.146,,,6,,,,0,16.382,,,26,0.015,
Car-S330,100.32877,-50.97015,17.339,,,10,16.496,,,6,,,,0,15.495,,,26,0.006,
Car-S331,100.32994,-50.79675,18.633,,,8,17.670,,,6,,,,0,16.527,,,25,0.011,
Car-S332,100.33008,-50.87200,18.289,,,8,17.451,,,6,,,,0,16.544,,,25,0.018,
Car-S333,100.33110,-50.90438,20.360,,,8,19.219,,,6,,,,0,17.799,,,25,0.022,
Car-S334,100.33074,-50.96676,17.196,,,10,,,,0,,,,0,15.545,,,27,0.022,
Car-S336,100.33207,-50.95710,19.199,,,10,18.000,,,6,,,,0,16.689,,,28,0.011,
Car-S337,100.33389,-50.79738,17.655,,,8,16.857,,,6,,,,0,15.920,,,25,0.007,
Car-S338,100.33332,-50.88403,20.198,,,8,19.063,,,6,,,,0,17.748,,,25,0.003,
Car-S342,100.33760,-50.92668,21.256,,,8,19.681,,,6,,,,0,17.364,,,25,0.007,
Car-S345,100.33829,-50.99878,,,,0,17.555,,,5,,,,0,16.745,,,11,0.019,
Car-S346,100.34046,-50.88930,16.051,,,8,15.483,,,6,,,,0,14.790,,,25,0.013,
Car-S347,100.34016,-50.96083,18.860,,,10,18.335,,,5,,,,0,17.651,,,26,-0.001,
Car-S350,100.34254,-50.96570,17.789,,,10,,,,0,,,,0,16.505,,,28,0.027,
Car-S353,100.34360,-50.93648,19.976,,,10,18.452,,,6,,,,0,16.322,,,26,0.008,
Car-S355,100.34576,-50.80568,18.972,,,8,18.105,,,6,,,,0,17.089,,,25,0.033,
Car-S36,100.07345,-50.91976,,,,0,18.653,,,6,,,,0,16.119,,,16,0.007,
Car-S360,100.34792,-50.94227,20.897,,,10,19.409,,,6,,,,0,17.472,,,26,0.006,
Car-S362,100.34914,-50.88113,18.358,,,8,17.486,,,6,,,,0,16.486,,,24,0.009,
Car-S363,100.34953,-50.81845,20.834,,,8,19.372,,,6,,,,0,17.435,,,23,0.008,
Car-S365,100.35421,-50.84389,18.913,,,7,18.180,,,6,,,,0,17.269,,,23,0.007,
Car-S366,100.35468,-50.87998,19.702,,,7,18.725,,,6,,,,0,17.560,,,23,0.008,
Car-S370,100.35874,-50.80623,18.219,,,7,17.276,,,6,,,,0,16.184,,,20,0.013,
Car-S371,100.35878,-50.92888,18.947,,,7,17.611,,,6,,,,0,16.176,,,22,0.011,
Car-S374,100.36152,-50.93489,19.805,,,7,18.847,,,6,,,,0,17.726,,,23,0.005,
Car-S375,100.36248,-50.78714,17.356,,,6,16.712,,,6,,,,0,15.938,,,22,0.009,
Car-S376,100.36211,-50.92317,19.924,,,6,18.622,,,6,,,,0,17.085,,,22,0.008,
Car-S377,100.36202,-50.99792,,,,0,18.126,,,5,,,,0,16.235,,,11,0.008,
Car-S379,100.36340,-50.98655,20.780,,,7,19.434,,,5,,,,0,17.642,,,18,0.006,
Car-S380,100.36687,-50.77747,,,,0,18.459,,,6,,,,0,15.896,,,22,0.002,
Car-S381,100.36746,-50.95112,19.495,,,8,17.938,,,5,,,,0,15.759,,,26,0.013,
Car-S383,100.36939,-50.85236,17.261,,,6,16.584,,,5,,,,0,15.788,,,15,0.019,
Car-S384,100.37009,-50.84601,20.287,,,6,18.892,,,6,,,,0,17.001,,,19,0.004,
Car-S385,100.37108,-50.94619,19.978,,,8,18.966,,,5,,,,0,17.793,,,24,0.008,
Car-S386,100.37262,-50.88094,18.854,,,6,18.115,,,6,,,,0,17.270,,,22,0.003,
Car-S388,100.37303,-50.84423,18.393,,,6,17.789,,,6,,,,0,17.063,,,19,0.010,
Car-S389,100.37434,-50.80074,19.820,,,6,18.459,,,5,,,,0,16.708,,,18,0.012,
Car-S391,100.37696,-50.98165,20.250,,,8,19.156,,,5,,,,0,17.811,,,23,-0.001,
Car-S392,100.37922,-50.90508,18.211,,,6,17.578,,,6,,,,0,16.793,,,22,0.015,
Car-S393,100.38037,-50.82698,18.285,,,6,17.477,,,5,,,,0,16.544,,,18,0.015,
Car-S395,100.38081,-50.97084,17.772,,,8,16.810,,,5,,,,0,15.739,,,25,0.016,
