name,ra,dec,B,BErr,nB_tot,nB,V,VErr,nV_tot,nV,R,RErr,nR_tot,nR,I,IErr,nI_tot,nI,vary,objID
N1851-S1200,78.66213,-40.07689,21.923,,,20,21.319,,,27,,,,0,20.514,,,28,-0.001,
N1851-S1201,78.66217,-40.04554,,,,0,21.699,,,26,,,,0,20.878,,,24,0.006,
N1851-S1202,78.66266,-40.06186,22.071,,,20,21.403,,,27,,,,0,20.611,,,28,0.021,
N1851-S1203,78.66288,-40.10615,21.295,,,23,20.746,,,27,,,,0,20.019,,,29,0.026,
N1851-S1204,78.66317,-40.07352,21.562,,,20,21.003,,,27,,,,0,20.256,,,28,0.044,
N1851-S1205,78.66323,-39.98789,18.441,,,29,17.712,,,27,,,,0,16.872,,,30,0.004,
N1851-S1206,78.66348,-40.00846,18.919,,,29,18.452,,,27,,,,0,17.783,,,30,-0.002,
N1851-S1207,78.66371,-40.10741,21.307,,,26,20.772,,,27,,,,0,20.057,,,28,-0.011,
N1851-S1208,78.66383,-40.03799,21.508,,,20,20.973,,,27,,,,0,20.235,,,28,0.005,
N1851-S1209,78.66401,-40.02549,20.606,,,27,20.116,,,28,,,,0,19.462,,,30,-0.007,
N1851-S121,78.56815,-40.09514,19.868,,,38,19.399,,,37,,,,0,18.765,,,38,0.004,
N1851-S1210,78.66426,-39.98222,20.238,,,28,19.778,,,27,,,,0,19.154,,,30,0.005,
N1851-S1211,78.66492,-40.12272,21.738,,,20,21.136,,,27,,,,0,20.362,,,28,0.004,
N1851-S1212,78.66524,-40.01318,17.887,,,30,17.076,,,28,,,,0,16.147,,,31,0.004,
N1851-S1213,78.66582,-39.97291,19.060,,,29,18.344,,,27,,,,0,17.511,,,30,-0.001,
N1851-S1214,78.66595,-40.02704,20.221,,,29,19.771,,,28,,,,0,19.143,,,31,-0.004,
N1851-S1216,78.66598,-39.99305,22.233,,,19,21.549,,,26,,,,0,20.709,,,27,0.009,
N1851-S1217,78.66631,-40.14530,21.511,,,22,20.921,,,27,,,,0,20.185,,,29,-0.006,
N1851-S1218,78.66651,-40.07161,21.514,,,21,20.946,,,27,,,,0,20.204,,,27,-0.012,
N1851-S1219,78.66661,-40.08200,22.042,,,21,21.382,,,26,,,,0,20.580,,,27,-0.001,
N1851-S122,78.56821,-40.10866,21.112,,,33,20.590,,,37,,,,0,19.908,,,37,0.042,
N1851-S1220,78.66765,-40.12429,21.050,,,26,20.552,,,27,,,,0,19.854,,,30,0.014,
N1851-S1221,78.66792,-40.02859,21.601,,,20,21.038,,,27,,,,0,20.303,,,28,0.035,
N1851-S1222,78.66885,-40.02055,19.564,,,30,19.101,,,28,,,,0,18.441,,,31,0.012,
N1851-S1223,78.66897,-40.02514,21.121,,,25,20.590,,,27,,,,0,19.920,,,30,-0.006,
N1851-S1224,78.66951,-40.06221,20.950,,,26,20.455,,,27,,,,0,19.774,,,30,0.009,
N1851-S1225,78.66960,-39.99881,22.034,,,20,21.407,,,27,,,,0,20.615,,,28,-0.002,
N1851-S1226,78.66981,-39.97550,21.023,,,26,20.515,,,27,,,,0,19.827,,,29,-0.009,
N1851-S1228,78.67023,-40.06027,19.605,,,30,19.142,,,28,,,,0,18.484,,,31,-0.002,
N1851-S1229,78.67035,-40.15850,20.773,,,26,20.258,,,28,,,,0,19.524,,,31,0.012,
N1851-S123,78.56798,-40.10102,17.743,,,40,17.594,,,39,,,,0,17.455,,,38,0.006,
N1851-S1230,78.67061,-40.06736,20.845,,,27,20.352,,,28,,,,0,19.678,,,30,0.013,
N1851-S1231,78.67172,-40.08481,20.180,,,29,19.694,,,28,,,,0,19.020,,,31,-0.004,
N1851-S1232,78.67176,-40.00243,21.473,,,22,20.906,,,27,,,,0,20.127,,,29,-0.011,
N1851-S1234,78.67237,-39.98396,19.864,,,29,19.399,,,27,,,,0,18.733,,,30,0.001,
N1851-S1235,78.67228,-39.94660,21.998,,,20,20.500,,,27,,,,0,18.184,,,30,0.013,
N1851-S1236,78.67253,-40.01544,21.659,,,20,21.066,,,27,,,,0,20.310,,,28,-0.010,
